9	Австралия, Канбера	Посолство	-35.35840, 149.10807	Адрес:ул. „Пиндари кресънт” № 29, квартал О’Мали<br/>Canberra, Australia<br/>тел.:+61 2 62869700 и +61 2 62869877<br/>Fax: 061/2/62869600<br/>e-mail:Embassy.Canberra@mfa.bg					
10	Австрия, Виена	Посолство	48.231890444121,16.337185147603	Canberra, Australia	505-25-57	 505-64-44 Fax: (00431) 505-14-23 e-mail: Embassy.Vienna@mfa.bg			
11	Албания, Тирана	Посолство	41.355922736497,19.829505894744	тел.:+61 2 62869700 и +61 2 62869877 	 + 355 4 22 32 906 Fax: + 355 4 22 32 272 e-mail:Embassy.Tirana@mfa.bg				
12	Алжир, Алжир	Посолство	36.835208114079,3.0970586011816	Fax: 061/2/62869600					
13	Ангола, Луанда	Посолство	22.218303730422,113.4666031476	e-mail:Embassy.Canberra@mfa.bg					
14	Аржентина, Буенос Айрес	Посолство	-34.55915, -58.44677	Консулска служба – +61 2 62869700 и +61 2 62869877					
15	Армения, Ереван	Посолство	40.113398078424,44.580415854058	16 Sofia str., Nor Aresh Тел.: 00374 10 458 233 Факс: 00374 10 454 602 E-mail:Embassy.Yerevan@mfa.bg					
16	Афганистан, Кабул	Посолство	34.508944258319,69.251689334421	Адрес: Kabul, Wazir Akbar Khan Mina, Str.15 тел.: 0093 202 103 148	 0093 707 826 262 Fax: 0093 202 101 089 e-mail: Embassy.Kabul@mfa.bg				
17	Беларус, Минск	Посолство	220030 53.90421, 27.55420	Адрес: 220030 код, Минск, Република Беларус пл. "Свобода" 11, 1 ет. тел.: 00 375 17 328 65 58	 00 375 17 328 65 61 Fax: 00 375 17 328 65 59 e-mail: Embassy.Minsk@mfa.bg				
18	Белгия, Брюксел	Посолство	50.803346723796,4.3829036934538	 58, Avenue Hamoir, 1180 Uccle Bruxelles, Royaume de Belgique Tел. - централа: (0032 2) 374 59 63, 375 70 81 E-mail: Embassy.Brussels@mfa.bg URL: www.bulgaria.be					
19	Бразилия, Бразилия	Посолство	-15.7932, -47.8746	Адрес: SEN 8 - Asa Norte Bras�lia - DF CEP 70800-911 Бразилия, DF, ФР Бразилия Тел.: (005561) 3223-6193, 3223-9849 Факс: (005561) 3323-3285 e-mail: Embassy.Brasilia@mfa.bg					
20	Великобритания, Лондон	Посолство	51.580638552146,-0.18878293694628	Адрес: 186-188 Queen's Gate, London SW7 5HL тел.: 0044 2075849400, 0044 2075849433, 0044 2075813144 Fax: 0044 2075844948 e-mail: Embassy.London@mfa.bg Консулска служба: Тел.: 0044 2075849379, 0044 2075849400, 0044 2075849433, 0044 2075813144 Индивидуални запитвания: 0044 2075893763 (13.00 ч. - 15.00 ч.) E-mail: Embassy.London@mfa.bg					
